id,name,muscles_main,muscles_secondary,equipment,movement
deadlift_conv,Conventional Deadlift,"['glutes', 'hamstrings']","['lower_back', 'traps', 'forearms']","['barbell']",pull
deadlift_sumo,Sumo Deadlift,"['glutes', 'quads']","['inner_thigh', 'back']","['barbell']",pull
deadlift_trap_bar,Trap Bar Deadlift,"['glutes', 'quads']","['back', 'hamstrings']","['other']",pull
rack_pull,Barbell Rack Pull,"['upper_back', 'traps']","['glutes', 'forearms']","['barbell']",pull
deficit_deadlift,Deficit Deadlift,"['glutes', 'hamstrings']","['lower_back', 'forearms']","['barbell']",pull
snatch_grip_deadlift,Snatch Grip Deadlift,"['back', 'glutes']","['hamstrings', 'traps']","['barbell']",pull
bb_row_bent_over,Bent Over Barbell Row,"['back']","['biceps', 'rear_delts', 'core']","['barbell']",pull
pendlay_row,Pendlay Row,"['back']","['biceps', 'core']","['barbell']",pull
db_row_one_arm,One-Arm Dumbbell Row,"['back']","['biceps', 'core']","['dumbbell']",pull
seated_cable_row,Seated Cable Row,"['back']","['biceps', 'rear_delts']","['cable']",pull
seated_row_wide,Wide Grip Seated Row,"['upper_back', 'traps']","['biceps', 'rear_delts']","['cable']",pull
lat_pulldown_wide,Wide Grip Lat Pulldown,"['back']","['biceps', 'shoulders']","['machine']",pull
lat_pulldown_vbar,V-Bar Lat Pulldown,"['back']","['biceps', 'forearms']","['machine']",pull
lat_pulldown_underhand,Underhand Lat Pulldown,"['back', 'biceps']","['forearms']","['machine']",pull
lat_pulldown_single,Single Arm Lat Pulldown,"['back']","['biceps', 'core']","['cable']",pull
pull_up_std,Standard Pull-Up,"['back']","['biceps', 'forearms']","['bodyweight']",pull
chin_up_std,Chin-Up,"['biceps', 'back']","['forearms']","['bodyweight']",pull
weighted_pull_up,Weighted Pull-Up,"['back']","['biceps', 'forearms']","['bodyweight', 'other']",pull
neutral_pull_up,Neutral Grip Pull-Up,"['back']","['biceps', 'brachialis']","['bodyweight']",pull
archer_pull_up,Archer Pull-Up,"['back']","['biceps', 'core']","['bodyweight']",pull
t_bar_row,T-Bar Row,"['back']","['biceps', 'traps']","['barbell']",pull
kroc_row,Kroc Row,"['back']","['biceps', 'forearms', 'traps']","['dumbbell']",pull
meadows_row,Meadows Row,"['back']","['biceps', 'rear_delts']","['barbell']",pull
seal_row,Seal Row,"['back']","['rear_delts', 'biceps']","['barbell']",pull
inverted_row,Inverted Row,"['back']","['biceps', 'core']","['bodyweight']",pull
face_pull_rope,Cable Face Pull,"['rear_deltoids']","['traps', 'upper_back']","['cable']",pull
straight_arm_pulldown,Straight Arm Pulldown,"['back']","['triceps', 'core']","['cable']",pull
pullover_db,Dumbbell Pullover,"['chest', 'back']","['triceps']","['dumbbell']",pull
pullover_bb,Barbell Pullover,"['chest', 'back']","['triceps']","['barbell']",pull
rear_delt_fly_db,Dumbbell Rear Delt Fly,"['rear_deltoids']","['upper_back']","['dumbbell']",pull
rear_delt_fly_machine,Reverse Pec Deck Fly,"['rear_deltoids']","['traps']","['machine']",pull
shrug_bb,Barbell Shrug,"['traps']","['forearms']","['barbell']",pull
shrug_db,Dumbbell Shrug,"['traps']","['forearms']","['dumbbell']",pull
shrug_behind_back,Behind Back Shrug,"['traps']","['forearms']","['barbell']",pull
kelso_shrug,Kelso Shrug,"['mid_traps', 'rhomboids']","['rear_delts']","['barbell']",pull
