id,name,muscles_main,muscles_secondary,equipment,movement
bench_press_bb,Barbell Bench Press,"['chest']","['triceps', 'shoulders']","['barbell']",push
bench_press_db,Dumbbell Bench Press,"['chest']","['triceps', 'shoulders']","['dumbbell']",push
incline_bb_press,Incline Barbell Press,"['upper_chest']","['shoulders', 'triceps']","['barbell']",push
incline_db_press,Incline Dumbbell Press,"['upper_chest']","['shoulders', 'triceps']","['dumbbell']",push
decline_bb_press,Decline Barbell Press,"['lower_chest']","['triceps', 'shoulders']","['barbell']",push
decline_db_press,Decline Dumbbell Press,"['lower_chest']","['triceps', 'shoulders']","['dumbbell']",push
close_grip_bench,Close Grip Bench Press,"['triceps']","['chest', 'shoulders']","['barbell']",push
reverse_grip_bench,Reverse Grip Barbell Press,"['upper_chest']","['triceps']","['barbell']",push
floor_press_bb,Barbell Floor Press,"['chest']","['triceps']","['barbell']",push
floor_press_db,Dumbbell Floor Press,"['chest']","['triceps']","['dumbbell']",push
spoto_press,Spoto Press (Paused Bench),"['chest']","['triceps', 'shoulders']","['barbell']",push
pin_bench_press,Pin Bench Press,"['chest']","['triceps']","['barbell']",push
cambered_bar_bench,Cambered Bar Bench Press,"['chest']","['shoulders']","['barbell']",push
machine_chest_press,Machine Chest Press,"['chest']","['triceps']","['machine']",push
incline_machine_press,Incline Machine Chest Press,"['upper_chest']","['triceps']","['machine']",push
decline_machine_press,Decline Machine Chest Press,"['lower_chest']","['triceps']","['machine']",push
hs_chest_press,Hammer Strength Chest Press,"['chest']","['triceps']","['machine']",push
pec_deck_fly,Pec Deck Fly,"['chest']","['shoulders']","['machine']",push
chest_fly_db,Dumbbell Chest Fly,"['chest']","['shoulders']","['dumbbell']",push
incline_fly_db,Incline Dumbbell Fly,"['upper_chest']","['shoulders']","['dumbbell']",push
decline_fly_db,Decline Dumbbell Fly,"['lower_chest']","['shoulders']","['dumbbell']",push
cable_fly_mid,Standing Cable Chest Fly (Mid Height),"['chest']","['shoulders']","['cable']",push
cable_fly_high_low,High-to-Low Cable Fly (Lower Chest),"['lower_chest']","['shoulders']","['cable']",push
cable_fly_low_high,Low-to-High Cable Fly (Upper Chest),"['upper_chest']","['shoulders']","['cable']",push
incline_cable_fly,Incline Cable Fly (Bench),"['upper_chest']","['shoulders']","['cable']",push
decline_cable_fly,Decline Cable Fly (Bench),"['lower_chest']","['shoulders']","['cable']",push
